scraped_at,carpark_id,name,guest_available,guest_available_display,guest_total,monthly_available,monthly_is_full,monthly_total,total,total_available,last_update
2026-02-24T00:39:07.368182+08:00,00000000-0000-0000-00000000012a,World Trade Centre,10,10+,152,1,False,1,153,11,2026-02-23T16:38:52Z
2026-02-24T00:39:07.368182+08:00,00000000-0000-0000-0000000000d8,8 Commercial Tower,10,10+,106,56,False,56,162,66,2026-02-23T16:38:52Z
2026-02-24T00:39:07.368182+08:00,00000000-0000-0000-0000000000ff,New Mandarin Plaza,10,10+,137,14,False,14,151,24,2026-02-23T16:38:52Z
2026-02-24T00:39:07.368182+08:00,00000000-0000-0000-000000000119,The Sun Arcade,10,10+,120,30,False,30,150,40,2026-02-23T16:38:52Z
2026-02-24T00:39:07.368182+08:00,00000000-0000-0000-000000000103,Sunway Gardens,10,10+,511,26,False,26,537,36,2026-02-23T16:38:52Z
2026-02-24T00:39:07.368182+08:00,00000000-0000-0000-0000000000f8,Chinachem Tsuen Wan Plaza,10,10+,59,9,False,9,68,19,2026-02-23T16:38:52Z
2026-02-24T00:39:07.368182+08:00,00000000-0000-0000-000000000121,Fu Shing Building,10,10+,305,19,False,19,324,29,2026-02-23T16:38:52Z
2026-02-24T00:39:07.368182+08:00,00000000-0000-0000-00000000010a,Fortune Plaza,10,10+,133,9,False,9,142,19,2026-02-23T16:38:52Z
2026-02-24T00:39:07.368182+08:00,00000000-0000-0000-00000000007d,Chi Fu Landmark,10,10+,334,551,False,551,885,561,2026-02-23T16:38:52Z
2026-02-24T00:39:07.368182+08:00,00000000-0000-0000-000000000124,Kwai Sing Centre,10,10+,137,0,True,0,137,10,2026-02-23T16:38:52Z
2026-02-24T00:39:07.368182+08:00,00000000-0000-0000-00000000011d,Ho Shun Tai Building,10,10+,108,15,False,15,123,25,2026-02-23T16:38:52Z
2026-02-24T00:39:07.368182+08:00,00000000-0000-0000-000000000102,Peninsula Square,10,10+,270,18,False,18,288,28,2026-02-23T16:38:52Z
2026-02-24T00:39:07.368182+08:00,00000000-0000-0000-000000000118,YOHO PLUS,10,10+,857,38,False,38,895,48,2026-02-23T16:38:52Z
2026-02-24T00:39:07.368182+08:00,00000000-0000-0000-00000000011c,Chinachem Golden Plaza,10,10+,189,6,False,6,195,16,2026-02-23T16:38:52Z
2026-02-24T00:39:07.368182+08:00,00000000-0000-0000-000000000122,Viking Gardens,10,10+,50,6,False,6,56,16,2026-02-23T16:38:52Z
2026-02-24T00:39:07.368182+08:00,00000000-0000-0000-00000000011e,Shun Fook Barn Car Park,10,10+,316,10,False,10,326,20,2026-02-23T16:38:52Z
