scraped_at,park_id,name,district,private_car_vacancy,motorcycle_vacancy,lgv_vacancy,last_update,opening_status
2026-03-01T00:01:12.648068+08:00,12,Amoy Plaza,Kwun Tong District,46,0,0,2026-02-28 12:02:42,OPEN
2026-03-01T00:01:12.648068+08:00,27,Yau Lai Shopping Centre Carpark,Kwun Tong District,5,2,,2026-02-28 22:09:17,OPEN
2026-03-01T00:01:12.648068+08:00,30,Telford Plaza D Carpark,Kwun Tong District,57,,,2026-02-28 23:34:20,OPEN
2026-03-01T00:01:12.648068+08:00,31,Telford Plaza I Carpark,Kwun Tong District,154,,,2026-02-28 23:38:50,OPEN
2026-03-01T00:01:12.648068+08:00,32,Telford Plaza II Carpark,Kwun Tong District,82,,,2026-02-28 23:46:21,OPEN
2026-03-01T00:01:12.648068+08:00,37,,,45,,,2026-02-28 21:42:13,
2026-03-01T00:01:12.648068+08:00,38,Domain Carpark,Kwun Tong District,0,,,2026-02-28 20:03:22,OPEN
2026-03-01T00:01:12.648068+08:00,75,Landmark East Carpark,Kwun Tong District,49,,,2026-02-28 23:48:33,OPEN
2026-03-01T00:01:12.648068+08:00,77,Kingston International Center,Kwun Tong District,92,,,2026-02-28 23:34:00,OPEN
2026-03-01T00:01:12.648068+08:00,78,Stelux House,Wong Tai Sin District,13,,,2026-02-27 17:41:54,OPEN
2026-03-01T00:01:12.648068+08:00,81,Manulife Place,Kwun Tong District,75,3,5,2026-02-23 09:08:00,OPEN
2026-03-01T00:01:12.648068+08:00,88,"Public Vehicle Parking, 8 Yan Yue Wai, Yau Tong",Kwun Tong District,38,,24,2026-02-27 11:14:22,OPEN
2026-03-01T00:01:12.648068+08:00,93,Hong Ning Road Park Car Park,Kwun Tong District,2,,,2026-02-28 23:41:20,OPEN
2026-03-01T00:01:12.648068+08:00,100,Prosperity Place Car Park,Kwun Tong District,19,,,2026-02-28 23:36:30,OPEN
2026-03-01T00:01:12.648068+08:00,101,Prosperity Center Car Park,Kwun Tong District,63,,,2026-02-28 23:31:30,OPEN
2026-03-01T00:01:12.648068+08:00,102,Scramble Hill,Kwun Tong District,147,,,2026-02-28 22:30:00,OPEN
2026-03-01T00:01:12.648068+08:00,103,One Sky Parc (Wilson Parking),Kwun Tong District,41,,,2026-02-28 23:44:01,OPEN
2026-03-01T00:01:12.648068+08:00,104,AIRSIDE,Wong Tai Sin District,653,66,,2026-02-28 23:48:00,OPEN
2026-03-01T00:01:12.648068+08:00,117,Kai Ching Estate Car Park,Kowloon City District,18,,,2026-02-28 21:37:50,OPEN
2026-03-01T00:01:12.648068+08:00,118,Tak Long Estate Carpark A,Kowloon City District,2,,,2026-02-28 22:02:31,OPEN
2026-03-01T00:01:12.648068+08:00,119,Tak Long Estate Carpark B,Kowloon City District,3,,,2026-02-28 22:04:10,OPEN
2026-03-01T00:01:12.648068+08:00,123,KTR350 Car Park,Kwun Tong District,76,,,2026-02-28 21:33:00,OPEN
