scraped_at,park_id,name,district,private_car_vacancy,motorcycle_vacancy,lgv_vacancy,last_update,opening_status
2026-02-18T00:41:30.525810+08:00,12,Amoy Plaza,Kwun Tong District,33,0,0,2026-02-17 21:39:33,OPEN
2026-02-18T00:41:30.525810+08:00,27,Yau Lai Shopping Centre Carpark,Kwun Tong District,5,2,,2026-02-17 22:12:28,OPEN
2026-02-18T00:41:30.525810+08:00,30,Telford Plaza D Carpark,Kwun Tong District,60,,,2026-02-18 00:32:10,OPEN
2026-02-18T00:41:30.525810+08:00,31,Telford Plaza I Carpark,Kwun Tong District,156,,,2026-02-18 00:26:10,OPEN
2026-02-18T00:41:30.525810+08:00,32,Telford Plaza II Carpark,Kwun Tong District,89,,,2026-02-18 00:08:10,OPEN
2026-02-18T00:41:30.525810+08:00,38,Domain Carpark,Kwun Tong District,98,,,2026-02-17 22:12:20,OPEN
2026-02-18T00:41:30.525810+08:00,75,Landmark East Carpark,Kwun Tong District,51,,,2026-02-18 00:32:26,OPEN
2026-02-18T00:41:30.525810+08:00,77,Kingston International Center,Kwun Tong District,93,,,2026-02-17 23:07:51,OPEN
2026-02-18T00:41:30.525810+08:00,78,Stelux House,Wong Tai Sin District,10,,,2026-02-16 14:27:16,OPEN
2026-02-18T00:41:30.525810+08:00,81,Manulife Place,Kwun Tong District,77,3,5,2026-02-16 12:50:15,OPEN
2026-02-18T00:41:30.525810+08:00,88,"Public Vehicle Parking, 8 Yan Yue Wai, Yau Tong",Kwun Tong District,13,,20,2026-02-13 10:25:19,OPEN
2026-02-18T00:41:30.525810+08:00,93,Hong Ning Road Park Car Park,Kwun Tong District,2,,,2026-02-18 00:29:00,OPEN
2026-02-18T00:41:30.525810+08:00,100,Prosperity Place Car Park,Kwun Tong District,23,,,2026-02-18 00:15:00,OPEN
2026-02-18T00:41:30.525810+08:00,101,Prosperity Center Car Park,Kwun Tong District,65,,,2026-02-18 00:26:30,OPEN
