scraped_at,park_id,name,district,private_car_vacancy,motorcycle_vacancy,lgv_vacancy,last_update,opening_status
2026-03-12T00:36:32.869281+08:00,12,Amoy Plaza,Kwun Tong District,141,0,0,2026-03-11 04:04:20,OPEN
2026-03-12T00:36:32.869281+08:00,27,Yau Lai Shopping Centre Carpark,Kwun Tong District,7,2,,2026-03-09 22:12:53,OPEN
2026-03-12T00:36:32.869281+08:00,30,Telford Plaza D Carpark,Kwun Tong District,60,,,2026-03-12 00:23:20,OPEN
2026-03-12T00:36:32.869281+08:00,31,Telford Plaza I Carpark,Kwun Tong District,133,,,2026-03-12 00:05:20,OPEN
2026-03-12T00:36:32.869281+08:00,32,Telford Plaza II Carpark,Kwun Tong District,89,,,2026-03-12 00:20:20,OPEN
2026-03-12T00:36:32.869281+08:00,37,Manhattan Place Carpark,Kwun Tong District,45,,,2026-03-11 22:45:43,OPEN
2026-03-12T00:36:32.869281+08:00,38,Domain Carpark,Kwun Tong District,115,,,2026-03-11 22:04:28,OPEN
2026-03-12T00:36:32.869281+08:00,75,Landmark East Carpark,Kwun Tong District,51,,,2026-03-12 00:25:48,OPEN
2026-03-12T00:36:32.869281+08:00,77,Kingston International Center,Kwun Tong District,91,,,2026-03-11 23:26:30,OPEN
2026-03-12T00:36:32.869281+08:00,78,Stelux House,Wong Tai Sin District,9,,,2026-03-11 16:17:51,OPEN
2026-03-12T00:36:32.869281+08:00,81,Manulife Place,Kwun Tong District,75,3,5,2026-03-11 11:29:11,OPEN
2026-03-12T00:36:32.869281+08:00,88,"Public Vehicle Parking, 8 Yan Yue Wai, Yau Tong",Kwun Tong District,39,,21,2026-03-11 10:25:47,OPEN
2026-03-12T00:36:32.869281+08:00,93,Hong Ning Road Park Car Park,Kwun Tong District,1,,,2026-03-12 00:00:01,OPEN
2026-03-12T00:36:32.869281+08:00,100,Prosperity Place Car Park,Kwun Tong District,29,,,2026-03-12 00:25:40,OPEN
2026-03-12T00:36:32.869281+08:00,101,Prosperity Center Car Park,Kwun Tong District,64,,,2026-03-11 23:56:30,OPEN
2026-03-12T00:36:32.869281+08:00,102,Scramble Hill,Kwun Tong District,150,,,2026-03-12 00:20:30,OPEN
2026-03-12T00:36:32.869281+08:00,103,One Sky Parc (Wilson Parking),Kwun Tong District,44,,,2026-03-11 23:59:50,OPEN
2026-03-12T00:36:32.869281+08:00,104,AIRSIDE,Wong Tai Sin District,641,79,,2026-03-12 00:25:00,OPEN
2026-03-12T00:36:32.869281+08:00,117,Kai Ching Estate Car Park,Kowloon City District,23,,,2026-03-12 00:05:30,OPEN
2026-03-12T00:36:32.869281+08:00,118,Tak Long Estate Carpark A,Kowloon City District,26,,,2026-03-12 00:03:50,OPEN
2026-03-12T00:36:32.869281+08:00,119,Tak Long Estate Carpark B,Kowloon City District,2,,,2026-03-12 00:04:50,OPEN
2026-03-12T00:36:32.869281+08:00,123,KTR350 Car Park,Kwun Tong District,62,,,2026-03-11 23:25:00,OPEN
2026-03-12T00:36:32.869281+08:00,124,Stadium Carpark,Kowloon City District,213,12,,2026-03-11 23:41:20,OPEN
2026-03-12T00:36:32.869281+08:00,125,Arena Carpark,Kowloon City District,207,9,,2026-03-12 00:05:12,OPEN
2026-03-12T00:36:32.869281+08:00,128,The Burrow (Wilson Parking),Wong Tai Sin District,41,,,2026-03-12 00:19:20,OPEN
2026-03-12T00:36:32.869281+08:00,tdc166p1,Phase 1 Carpark of Tin Ching Estate,Yuen Long,-1,,,2026-03-12 00:35:02,CLOSED
2026-03-12T00:36:32.869281+08:00,tdc6p11,Cheung Shan Estate Carpark,Tsuen Wan,-1,,,2026-03-12 00:35:02,OPEN
2026-03-12T00:36:32.869281+08:00,tdc245p1,Hong Wah Court Car Park,Kwun Tong,-1,,,2026-03-12 00:35:02,CLOSED
2026-03-12T00:36:32.869281+08:00,tdc6p8,Kwai Shing West Shopping Centre Car Park,Kwai Tsing,-1,,,2026-03-12 00:35:02,OPEN
2026-03-12T00:36:32.869281+08:00,tdc6p9,Lai King Estate Car Park C,Kwai Tsing,-1,,,2026-03-12 00:35:02,OPEN
2026-03-12T00:36:32.869281+08:00,tdc8p3,MTR Hong Kong Station Car Park,Central & Western,243,,,2026-03-12 00:34:15,OPEN
2026-03-12T00:36:32.869281+08:00,tdcp10,Aberdeen Car Park,Southern,30,5,,2026-03-12 00:34:12,OPEN
2026-03-12T00:36:32.869281+08:00,tdcp11,Tin Hau Car Park,Wan Chai,190,1,,2026-03-12 00:34:12,OPEN
2026-03-12T00:36:32.869281+08:00,tdcp12,Sheung Fung Street Car Park,Wong Tai Sin,70,5,,2026-03-12 00:34:12,OPEN
2026-03-12T00:36:32.869281+08:00,tdcp2,Rumsey Street Car Park,Central & Western,496,30,,2026-03-12 00:34:12,OPEN
2026-03-12T00:36:32.869281+08:00,tdcp3,Tsuen Wan Car Park,Tsuen Wan,118,4,,2026-03-12 00:34:12,OPEN
2026-03-12T00:36:32.869281+08:00,tdcp5,City Hall Car Park,Central & Western,127,7,,2026-03-12 00:34:12,OPEN
2026-03-12T00:36:32.869281+08:00,tdcp6,Kwai Fong Car Park,Kwai Tsing,147,6,,2026-03-12 00:34:12,OPEN
2026-03-12T00:36:32.869281+08:00,tdcp7,Kennedy Town Car Park,Central & Western,20,0,,2026-03-12 00:34:12,OPEN
2026-03-12T00:36:32.869281+08:00,tdcp8,Star Ferry Car Park,Central & Western,291,14,,2026-03-12 00:34:12,OPEN
2026-03-12T00:36:32.869281+08:00,tdcp9,Shau Kei Wan Car Park,Eastern,95,5,,2026-03-12 00:34:12,OPEN
2026-03-12T00:36:32.869281+08:00,tdstt2p2,Value Parking Shan Mei Street,Sha Tin,-1,,,2026-03-12 00:35:02,OPEN
2026-03-12T00:36:32.869281+08:00,tdc5p1,Hopewell Centre,Wan Chai,-1,,,2026-03-12 00:35:02,OPEN
2026-03-12T00:36:32.869281+08:00,tdc5p3,Wu Chung House,Wan Chai,-1,,,2026-03-12 00:35:02,OPEN
