scraped_at,park_id,name,district,private_car_vacancy,motorcycle_vacancy,lgv_vacancy,last_update,opening_status
2026-02-24T00:39:05.581322+08:00,12,Amoy Plaza,Kwun Tong District,151,0,0,2026-02-24 00:21:06,OPEN
2026-02-24T00:39:05.581322+08:00,27,Yau Lai Shopping Centre Carpark,Kwun Tong District,4,2,,2026-02-23 13:14:48,OPEN
2026-02-24T00:39:05.581322+08:00,30,Telford Plaza D Carpark,Kwun Tong District,64,,,2026-02-24 00:06:31,OPEN
2026-02-24T00:39:05.581322+08:00,31,Telford Plaza I Carpark,Kwun Tong District,168,,,2026-02-24 00:18:40,OPEN
2026-02-24T00:39:05.581322+08:00,32,Telford Plaza II Carpark,Kwun Tong District,91,,,2026-02-24 00:29:00,OPEN
2026-02-24T00:39:05.581322+08:00,38,Domain Carpark,Kwun Tong District,112,,,2026-02-23 22:07:44,OPEN
2026-02-24T00:39:05.581322+08:00,75,Landmark East Carpark,Kwun Tong District,52,,,2026-02-24 00:34:45,OPEN
2026-02-24T00:39:05.581322+08:00,77,Kingston International Center,Kwun Tong District,92,,,2026-02-23 23:57:30,OPEN
2026-02-24T00:39:05.581322+08:00,78,Stelux House,Wong Tai Sin District,12,,,2026-02-23 16:06:08,OPEN
2026-02-24T00:39:05.581322+08:00,81,Manulife Place,Kwun Tong District,75,3,5,2026-02-23 09:08:00,OPEN
2026-02-24T00:39:05.581322+08:00,88,"Public Vehicle Parking, 8 Yan Yue Wai, Yau Tong",Kwun Tong District,10,,22,2026-02-23 12:45:46,OPEN
2026-02-24T00:39:05.581322+08:00,93,Hong Ning Road Park Car Park,Kwun Tong District,0,,,2026-02-24 00:00:01,OPEN
2026-02-24T00:39:05.581322+08:00,100,Prosperity Place Car Park,Kwun Tong District,21,,,2026-02-23 23:53:50,OPEN
2026-02-24T00:39:05.581322+08:00,101,Prosperity Center Car Park,Kwun Tong District,68,,,2026-02-24 00:23:50,OPEN
2026-02-24T00:39:05.581322+08:00,102,Scramble Hill,Kwun Tong District,149,,,2026-02-23 23:26:52,OPEN
2026-02-24T00:39:05.581322+08:00,103,One Sky Parc (Wilson Parking),Kwun Tong District,41,,,2026-02-24 00:03:11,OPEN
2026-02-24T00:39:05.581322+08:00,104,AIRSIDE,Wong Tai Sin District,646,79,,2026-02-24 00:33:50,OPEN
2026-02-24T00:39:05.581322+08:00,117,Kai Ching Estate Car Park,Kowloon City District,21,,,2026-02-24 00:14:50,OPEN
2026-02-24T00:39:05.581322+08:00,118,Tak Long Estate Carpark A,Kowloon City District,25,,,2026-02-24 00:03:51,OPEN
2026-02-24T00:39:05.581322+08:00,119,Tak Long Estate Carpark B,Kowloon City District,2,,,2026-02-24 00:03:51,OPEN
2026-02-24T00:39:05.581322+08:00,123,KTR350 Car Park,Kwun Tong District,74,,,2026-02-23 23:39:00,OPEN
2026-02-24T00:39:05.581322+08:00,124,Stadium Carpark,Kowloon City District,282,33,,2026-02-20 09:20:21,OPEN
2026-02-24T00:39:05.581322+08:00,125,Arena Carpark,Kowloon City District,198,8,,2026-02-20 09:23:51,OPEN
2026-02-24T00:39:05.581322+08:00,128,The Burrow (Wilson Parking),Wong Tai Sin District,30,,,2026-02-24 00:33:00,OPEN
2026-02-24T00:39:05.581322+08:00,tdc166p1,Phase 1 Carpark of Tin Ching Estate,Yuen Long,-1,,,2026-02-24 00:37:02,CLOSED
2026-02-24T00:39:05.581322+08:00,tdc6p11,Cheung Shan Estate Carpark,Tsuen Wan,-1,,,2026-02-24 00:37:02,OPEN
2026-02-24T00:39:05.581322+08:00,tdc245p1,Hong Wah Court Car Park,Kwun Tong,-1,,,2026-02-24 00:37:02,CLOSED
2026-02-24T00:39:05.581322+08:00,tdc6p8,Kwai Shing West Shopping Centre Car Park,Kwai Tsing,-1,,,2026-02-24 00:37:02,OPEN
2026-02-24T00:39:05.581322+08:00,tdc6p9,Lai King Estate Car Park C,Kwai Tsing,-1,,,2026-02-24 00:37:02,OPEN
2026-02-24T00:39:05.581322+08:00,tdc8p3,MTR Hong Kong Station Car Park,Central & Western,238,,,2026-02-24 00:36:16,OPEN
2026-02-24T00:39:05.581322+08:00,tdcp10,Aberdeen Car Park,Southern,30,5,,2026-02-24 00:36:12,OPEN
2026-02-24T00:39:05.581322+08:00,tdcp11,Tin Hau Car Park,Wan Chai,187,0,,2026-02-24 00:36:12,OPEN
