scraped_at,park_id,name,district,private_car_vacancy,motorcycle_vacancy,lgv_vacancy,last_update,opening_status
2026-02-21T00:28:24.897380+08:00,12,Amoy Plaza,Kwun Tong District,125,0,0,2026-02-21 00:17:44,OPEN
2026-02-21T00:28:24.897380+08:00,27,Yau Lai Shopping Centre Carpark,Kwun Tong District,2,1,,2026-02-20 14:46:15,OPEN
2026-02-21T00:28:24.897380+08:00,30,Telford Plaza D Carpark,Kwun Tong District,60,,,2026-02-20 23:59:10,OPEN
2026-02-21T00:28:24.897380+08:00,31,Telford Plaza I Carpark,Kwun Tong District,164,,,2026-02-21 00:17:10,OPEN
2026-02-21T00:28:24.897380+08:00,32,Telford Plaza II Carpark,Kwun Tong District,90,,,2026-02-21 00:06:40,OPEN
2026-02-21T00:28:24.897380+08:00,38,Domain Carpark,Kwun Tong District,98,,,2026-02-20 22:06:00,OPEN
2026-02-21T00:28:24.897380+08:00,75,Landmark East Carpark,Kwun Tong District,49,,,2026-02-21 00:17:47,OPEN
2026-02-21T00:28:24.897380+08:00,77,Kingston International Center,Kwun Tong District,93,,,2026-02-20 22:33:01,OPEN
2026-02-21T00:28:24.897380+08:00,78,Stelux House,Wong Tai Sin District,10,,,2026-02-16 14:27:16,OPEN
2026-02-21T00:28:24.897380+08:00,81,Manulife Place,Kwun Tong District,77,3,5,2026-02-16 12:50:15,OPEN
2026-02-21T00:28:24.897380+08:00,93,Hong Ning Road Park Car Park,Kwun Tong District,2,,,2026-02-21 00:11:30,OPEN
2026-02-21T00:28:24.897380+08:00,100,Prosperity Place Car Park,Kwun Tong District,10,,,2026-02-21 00:16:30,OPEN
2026-02-21T00:28:24.897380+08:00,101,Prosperity Center Car Park,Kwun Tong District,66,,,2026-02-20 23:49:00,OPEN
2026-02-21T00:28:24.897380+08:00,102,Scramble Hill,Kwun Tong District,147,,,2026-02-21 00:11:40,OPEN
2026-02-21T00:28:24.897380+08:00,103,One Sky Parc (Wilson Parking),Kwun Tong District,43,,,2026-02-20 23:52:40,OPEN
