scraped_at,park_id,name,district,private_car_vacancy,motorcycle_vacancy,lgv_vacancy,last_update,opening_status
2026-02-05T00:30:18.458753+08:00,tdc1p5,Lee Garden Three Car Park,Wan Chai,-1,,,2026-02-05 00:28:02,OPEN
2026-02-05T00:30:18.458753+08:00,tdc1p4,Hysan Place Car Park,Wan Chai,-1,,,2026-02-05 00:28:02,OPEN
2026-02-05T00:30:18.458753+08:00,tdc1p3,Leighton Centre Car Park,Wan Chai,-1,,,2026-02-05 00:28:02,CLOSED
2026-02-05T00:30:18.458753+08:00,tdc1p2,LEE GARDEN TWO CAR PARK,Wan Chai,-1,,,2026-02-05 00:28:02,CLOSED
2026-02-05T00:30:18.458753+08:00,tdc1p1,LEE GARDEN ONE CAR PARK,Wan Chai,-1,,,2026-02-05 00:28:02,CLOSED
2026-02-05T00:30:18.458753+08:00,tdc17p3,West Gate Open Car Park,Yau Tsim Mong,0,,,2026-02-04 22:58:12,OPEN
2026-02-05T00:30:18.458753+08:00,tdstt3p1,Skye Parking Ho Tin Street,Tuen Mun,-1,,-1,2026-02-05 00:28:02,OPEN
2026-02-05T00:30:18.458753+08:00,tdc17p2,Art Park Car Park,Yau Tsim Mong,205,0,,2026-02-05 00:26:12,OPEN
2026-02-05T00:30:18.458753+08:00,tdstt5p1,Skye Parking Ma Wo Road,Tai Po,-1,,,2026-02-05 00:28:02,OPEN
2026-02-05T00:30:18.458753+08:00,tdc14p1004,Choi Ming Car Park 1,Sai Kung,30,,,2026-02-05 00:28:00,OPEN
2026-02-05T00:30:18.458753+08:00,tdc14p1005,Choi Ming Car Park 2,Sai Kung,30,,,2026-02-05 00:28:00,OPEN
2026-02-05T00:30:18.458753+08:00,tdc14p1006,Kin Ming Car Park A,Sai Kung,30,,,2026-02-05 00:28:00,OPEN
2026-02-05T00:30:18.458753+08:00,tdc14p1007,Tong Ming Car Park,Sai Kung,30,,,2026-02-05 00:28:00,OPEN
2026-02-05T00:30:18.458753+08:00,tdc14p1008,TKO Spot Car Park A,Sai Kung,30,,,2026-02-05 00:28:00,OPEN
2026-02-05T00:30:18.458753+08:00,tdc14p1012,TKO Spot Car Park B,Sai Kung,30,,,2026-02-05 00:28:00,OPEN
2026-02-05T00:30:18.458753+08:00,tdc14p1015,Oi Tung Car Park,Eastern,30,,,2026-02-05 00:28:00,OPEN
2026-02-05T00:30:18.458753+08:00,tdc14p1016,Yiu Tung Car Park 1,Eastern,23,,,2026-02-05 00:28:00,OPEN
2026-02-05T00:30:18.458753+08:00,tdc14p1017,Hing Tung Car Park,Eastern,30,,,2026-02-05 00:28:00,OPEN
2026-02-05T00:30:18.458753+08:00,tdstt38,Man Lai Road,Sha Tin,-1,,,2026-02-05 00:28:02,OPEN
2026-02-05T00:30:18.458753+08:00,tdc268p1,Shek Kip Mei Park Sports Centre,Sham Shui Po,-1,,,2026-02-05 00:28:02,CLOSED
2026-02-05T00:30:18.458753+08:00,tdc14p1030,Siu Sai Wan Phase 3 Car Park,Eastern,30,,,2026-02-05 00:28:00,OPEN
2026-02-05T00:30:18.458753+08:00,tdc14p1031,Siu Sai Wan Phase 1 Car Park,Eastern,30,,,2026-02-05 00:28:00,OPEN
2026-02-05T00:30:18.458753+08:00,tdc14p1032,Tsui Wan Car Park,Eastern,0,,,2026-02-05 00:28:00,OPEN
2026-02-05T00:30:18.458753+08:00,tdc14p1033,Wan Tsui Car Park,Eastern,20,,,2026-02-05 00:28:00,OPEN
2026-02-05T00:30:18.458753+08:00,tdc14p1034,Hing Wah Car Park B,Eastern,30,,,2026-02-05 00:28:00,OPEN
