scraped_at,park_id,name,district,private_car_vacancy,motorcycle_vacancy,lgv_vacancy,last_update,opening_status
2026-03-13T00:44:59.105685+08:00,12,Amoy Plaza,Kwun Tong District,21,0,0,2026-03-12 22:29:56,OPEN
2026-03-13T00:44:59.105685+08:00,27,Yau Lai Shopping Centre Carpark,Kwun Tong District,3,2,,2026-03-12 14:42:29,OPEN
2026-03-13T00:44:59.105685+08:00,30,Telford Plaza D Carpark,Kwun Tong District,63,,,2026-03-12 23:41:40,OPEN
2026-03-13T00:44:59.105685+08:00,31,Telford Plaza I Carpark,Kwun Tong District,127,,,2026-03-13 00:19:10,OPEN
2026-03-13T00:44:59.105685+08:00,32,Telford Plaza II Carpark,Kwun Tong District,87,,,2026-03-12 23:52:11,OPEN
2026-03-13T00:44:59.105685+08:00,37,Manhattan Place Carpark,Kwun Tong District,45,,,2026-03-12 21:19:56,OPEN
2026-03-13T00:44:59.105685+08:00,38,Domain Carpark,Kwun Tong District,112,,,2026-03-12 22:38:14,OPEN
2026-03-13T00:44:59.105685+08:00,75,Landmark East Carpark,Kwun Tong District,51,,,2026-03-13 00:30:35,OPEN
2026-03-13T00:44:59.105685+08:00,77,Kingston International Center,Kwun Tong District,92,,,2026-03-12 23:26:21,OPEN
2026-03-13T00:44:59.105685+08:00,78,Stelux House,Wong Tai Sin District,11,,,2026-03-12 17:27:47,OPEN
2026-03-13T00:44:59.105685+08:00,81,Manulife Place,Kwun Tong District,75,3,5,2026-03-11 11:29:11,OPEN
2026-03-13T00:44:59.105685+08:00,88,"Public Vehicle Parking, 8 Yan Yue Wai, Yau Tong",Kwun Tong District,39,,21,2026-03-11 10:25:47,OPEN
2026-03-13T00:44:59.105685+08:00,93,Hong Ning Road Park Car Park,Kwun Tong District,2,,,2026-03-13 00:05:30,OPEN
2026-03-13T00:44:59.105685+08:00,100,Prosperity Place Car Park,Kwun Tong District,27,,,2026-03-13 00:01:31,OPEN
2026-03-13T00:44:59.105685+08:00,101,Prosperity Center Car Park,Kwun Tong District,66,,,2026-03-13 00:28:50,OPEN
2026-03-13T00:44:59.105685+08:00,102,Scramble Hill,Kwun Tong District,150,,,2026-03-12 23:31:20,OPEN
2026-03-13T00:44:59.105685+08:00,103,One Sky Parc (Wilson Parking),Kwun Tong District,44,,,2026-03-12 23:03:10,OPEN
2026-03-13T00:44:59.105685+08:00,104,AIRSIDE,Wong Tai Sin District,636,79,,2026-03-13 00:28:50,OPEN
2026-03-13T00:44:59.105685+08:00,117,Kai Ching Estate Car Park,Kowloon City District,22,,,2026-03-13 00:03:20,OPEN
2026-03-13T00:44:59.105685+08:00,118,Tak Long Estate Carpark A,Kowloon City District,27,,,2026-03-13 00:06:50,OPEN
2026-03-13T00:44:59.105685+08:00,119,Tak Long Estate Carpark B,Kowloon City District,2,,,2026-03-13 00:06:50,OPEN
2026-03-13T00:44:59.105685+08:00,123,KTR350 Car Park,Kwun Tong District,59,,,2026-03-13 00:00:30,OPEN
2026-03-13T00:44:59.105685+08:00,124,Stadium Carpark,Kowloon City District,212,12,,2026-03-13 00:01:10,OPEN
2026-03-13T00:44:59.105685+08:00,125,Arena Carpark,Kowloon City District,208,9,,2026-03-13 00:23:40,OPEN
2026-03-13T00:44:59.105685+08:00,128,The Burrow (Wilson Parking),Wong Tai Sin District,34,,,2026-03-13 00:26:30,OPEN
2026-03-13T00:44:59.105685+08:00,tdc166p1,Phase 1 Carpark of Tin Ching Estate,Yuen Long,-1,,,2026-03-13 00:42:02,CLOSED
2026-03-13T00:44:59.105685+08:00,tdc6p11,Cheung Shan Estate Carpark,Tsuen Wan,-1,,,2026-03-13 00:42:02,OPEN
2026-03-13T00:44:59.105685+08:00,tdc245p1,Hong Wah Court Car Park,Kwun Tong,-1,,,2026-03-13 00:42:02,CLOSED
2026-03-13T00:44:59.105685+08:00,tdc6p8,Kwai Shing West Shopping Centre Car Park,Kwai Tsing,-1,,,2026-03-13 00:42:02,OPEN
2026-03-13T00:44:59.105685+08:00,tdc6p9,Lai King Estate Car Park C,Kwai Tsing,-1,,,2026-03-13 00:42:02,OPEN
2026-03-13T00:44:59.105685+08:00,tdc8p3,MTR Hong Kong Station Car Park,Central & Western,258,,,2026-03-13 00:41:19,OPEN
2026-03-13T00:44:59.105685+08:00,tdcp10,Aberdeen Car Park,Southern,29,4,,2026-03-13 00:41:16,OPEN
2026-03-13T00:44:59.105685+08:00,tdcp11,Tin Hau Car Park,Wan Chai,189,1,,2026-03-13 00:41:16,OPEN
2026-03-13T00:44:59.105685+08:00,tdcp12,Sheung Fung Street Car Park,Wong Tai Sin,71,5,,2026-03-13 00:41:16,OPEN
2026-03-13T00:44:59.105685+08:00,tdcp2,Rumsey Street Car Park,Central & Western,495,30,,2026-03-13 00:41:16,OPEN
2026-03-13T00:44:59.105685+08:00,tdcp3,Tsuen Wan Car Park,Tsuen Wan,122,4,,2026-03-13 00:41:16,OPEN
2026-03-13T00:44:59.105685+08:00,tdcp5,City Hall Car Park,Central & Western,130,6,,2026-03-13 00:41:16,OPEN
2026-03-13T00:44:59.105685+08:00,tdcp6,Kwai Fong Car Park,Kwai Tsing,153,8,,2026-03-13 00:41:16,OPEN
2026-03-13T00:44:59.105685+08:00,tdcp7,Kennedy Town Car Park,Central & Western,34,0,,2026-03-13 00:41:16,OPEN
2026-03-13T00:44:59.105685+08:00,tdcp8,Star Ferry Car Park,Central & Western,294,12,,2026-03-13 00:41:16,OPEN
2026-03-13T00:44:59.105685+08:00,tdcp9,Shau Kei Wan Car Park,Eastern,95,5,,2026-03-13 00:41:16,OPEN
2026-03-13T00:44:59.105685+08:00,tdstt2p2,Value Parking Shan Mei Street,Sha Tin,-1,,,2026-03-13 00:42:02,OPEN
2026-03-13T00:44:59.105685+08:00,tdc5p1,Hopewell Centre,Wan Chai,-1,,,2026-03-13 00:42:02,OPEN
2026-03-13T00:44:59.105685+08:00,tdc5p3,Wu Chung House,Wan Chai,-1,,,2026-03-13 00:42:02,OPEN
2026-03-13T00:44:59.105685+08:00,tdc5p4,Panda Place,Tsuen Wan,-1,,,2026-03-13 00:42:02,OPEN
2026-03-13T00:44:59.105685+08:00,tdc17p1,Xiqu Centre Car Park,Yau Tsim Mong,45,,,2026-03-13 00:41:16,OPEN
2026-03-13T00:44:59.105685+08:00,tdstt30,Hoi Ting Road,Yau Tsim Mong,21,,,2026-03-13 00:40:36,OPEN
2026-03-13T00:44:59.105685+08:00,tdc1p5,Lee Garden Three Car Park,Wan Chai,-1,,,2026-03-13 00:42:02,OPEN
2026-03-13T00:44:59.105685+08:00,tdc1p4,Hysan Place Car Park,Wan Chai,-1,,,2026-03-13 00:42:02,OPEN
2026-03-13T00:44:59.105685+08:00,tdc1p3,Leighton Centre Car Park,Wan Chai,-1,,,2026-03-13 00:42:02,CLOSED
2026-03-13T00:44:59.105685+08:00,tdc1p2,LEE GARDEN TWO CAR PARK,Wan Chai,-1,,,2026-03-13 00:42:02,CLOSED
2026-03-13T00:44:59.105685+08:00,tdc1p1,LEE GARDEN ONE CAR PARK,Wan Chai,-1,,,2026-03-13 00:42:02,CLOSED
2026-03-13T00:44:59.105685+08:00,tdc17p3,West Gate Open Car Park,Yau Tsim Mong,0,,,2026-03-12 22:58:17,OPEN
2026-03-13T00:44:59.105685+08:00,tdstt3p1,Skye Parking Ho Tin Street,Tuen Mun,-1,,-1,2026-03-13 00:42:02,OPEN
2026-03-13T00:44:59.105685+08:00,tdc17p2,Art Park Car Park,Yau Tsim Mong,205,0,,2026-03-13 00:40:18,OPEN
2026-03-13T00:44:59.105685+08:00,tdstt5p1,Skye Parking Ma Wo Road,Tai Po,-1,,,2026-03-13 00:42:02,OPEN
2026-03-13T00:44:59.105685+08:00,tdc14p1004,Choi Ming Car Park 1,Sai Kung,30,,,2026-03-13 00:42:00,OPEN
2026-03-13T00:44:59.105685+08:00,tdc14p1005,Choi Ming Car Park 2,Sai Kung,30,,,2026-03-13 00:42:00,OPEN
2026-03-13T00:44:59.105685+08:00,tdc14p1006,Kin Ming Car Park A,Sai Kung,30,,,2026-03-13 00:42:00,OPEN
2026-03-13T00:44:59.105685+08:00,tdc14p1007,Tong Ming Car Park,Sai Kung,30,,,2026-03-13 00:42:00,OPEN
2026-03-13T00:44:59.105685+08:00,tdc14p1008,TKO Spot Car Park A,Sai Kung,30,,,2026-03-13 00:42:00,OPEN
2026-03-13T00:44:59.105685+08:00,tdc14p1012,TKO Spot Car Park B,Sai Kung,30,,,2026-03-13 00:42:00,OPEN
2026-03-13T00:44:59.105685+08:00,tdc14p1015,Oi Tung Car Park,Eastern,30,,,2026-03-13 00:42:00,OPEN
2026-03-13T00:44:59.105685+08:00,tdc14p1016,Yiu Tung Car Park 1,Eastern,27,,,2026-03-13 00:42:00,OPEN
2026-03-13T00:44:59.105685+08:00,tdc14p1017,Hing Tung Car Park,Eastern,30,,,2026-03-13 00:42:00,OPEN
2026-03-13T00:44:59.105685+08:00,tdstt38,Man Lai Road,Sha Tin,-1,,,2026-03-13 00:42:02,OPEN
2026-03-13T00:44:59.105685+08:00,tdc268p1,Shek Kip Mei Park Sports Centre,Sham Shui Po,-1,,,2026-03-13 00:42:02,CLOSED
2026-03-13T00:44:59.105685+08:00,tdc14p1030,Siu Sai Wan Phase 3 Car Park,Eastern,30,,,2026-03-13 00:42:00,OPEN
2026-03-13T00:44:59.105685+08:00,tdc14p1031,Siu Sai Wan Phase 1 Car Park,Eastern,30,,,2026-03-13 00:42:00,OPEN
2026-03-13T00:44:59.105685+08:00,tdc14p1032,Tsui Wan Car Park,Eastern,0,,,2026-03-13 00:42:00,OPEN
2026-03-13T00:44:59.105685+08:00,tdc14p1033,Wan Tsui Car Park,Eastern,23,,,2026-03-13 00:42:00,OPEN
2026-03-13T00:44:59.105685+08:00,tdc14p1034,Hing Wah Car Park B,Eastern,30,,,2026-03-13 00:42:00,OPEN
2026-03-13T00:44:59.105685+08:00,tdc14p1037,Yiu Tung Car Park 2,Eastern,30,,,2026-03-13 00:42:00,OPEN
2026-03-13T00:44:59.105685+08:00,tdc25p42,Cornell Centre,Eastern,6,,,2026-03-13 00:41:18,OPEN
2026-03-13T00:44:59.105685+08:00,tdc14p2101,Chung On Car Park,Sha Tin,30,,,2026-03-13 00:42:00,OPEN
2026-03-13T00:44:59.105685+08:00,tdc14p2104,Heng On Car Park,Sha Tin,30,,,2026-03-13 00:42:00,OPEN
2026-03-13T00:44:59.105685+08:00,tdc14p2106,Yiu On Car Park,Sha Tin,30,,,2026-03-13 00:42:00,OPEN
2026-03-13T00:44:59.105685+08:00,tdc25p41,Chai Wan Industrial City Phase II,Eastern,6,,,2026-03-13 00:41:18,OPEN
2026-03-13T00:44:59.105685+08:00,tdc25p40,Chai Wan Industrial City Phase I,Eastern,10,,,2026-03-13 00:41:18,OPEN
2026-03-13T00:44:59.105685+08:00,tdc14p2116,Cheung Wah Car Park A,North,30,,,2026-03-13 00:42:00,OPEN
2026-03-13T00:44:59.105685+08:00,tdc14p2117,Cheung Wah Car Park B,North,26,,,2026-03-13 00:42:00,OPEN
2026-03-13T00:44:59.105685+08:00,tdc14p2118,Choi Yuen Car Park A,North,30,,,2026-03-13 00:42:00,OPEN
2026-03-13T00:44:59.105685+08:00,tdc14p2119,Choi Yuen Car Park B,North,30,,,2026-03-13 00:42:00,OPEN
2026-03-13T00:44:59.105685+08:00,tdc14p2120,Choi Yuen Car Park C,North,30,,,2026-03-13 00:42:00,OPEN
2026-03-13T00:44:59.105685+08:00,tdc14p2121,Choi Yuen Car Park D,North,1,,,2026-03-13 00:42:00,OPEN
2026-03-13T00:44:59.105685+08:00,tdc284p1,Shun Chi Court Car Park,Kwun Tong,-1,,,2026-03-13 00:42:02,CLOSED
2026-03-13T00:44:59.105685+08:00,tdc14p3201,Hin Keng Car Park,Sha Tin,30,,,2026-03-13 00:42:00,OPEN
2026-03-13T00:44:59.105685+08:00,tdc14p3204,Lung Hang A Car Park,Sha Tin,30,,,2026-03-13 00:42:00,OPEN
2026-03-13T00:44:59.105685+08:00,tdc14p3206,Sun Chui Car Park B,Sha Tin,30,,,2026-03-13 00:42:00,OPEN
2026-03-13T00:44:59.105685+08:00,tdc269p1,Shek Kip Mei Park Stage Three,Sham Shui Po,-1,,,2026-03-13 00:42:02,CLOSED
2026-03-13T00:44:59.105685+08:00,tdc14p3216,Mei Lam Car Park,Sha Tin,30,,,2026-03-13 00:42:00,OPEN
2026-03-13T00:44:59.105685+08:00,tdc264p1,Siu Tsui Court,Tuen Mun,-1,,,2026-03-13 00:42:02,CLOSED
2026-03-13T00:44:59.105685+08:00,tdc14p3303,Tin Wah Car Park,Yuen Long,30,,,2026-03-13 00:42:00,OPEN
2026-03-13T00:44:59.105685+08:00,tdc14p3304,T Town South Car Park,Yuen Long,30,,,2026-03-13 00:42:00,OPEN
2026-03-13T00:44:59.105685+08:00,tdc14p3306,T Town North Car Park,Yuen Long,30,,,2026-03-13 00:42:00,OPEN
2026-03-13T00:44:59.105685+08:00,tdc247p1,King Shan Court Car Park,Wong Tai Sin,21,,,2026-03-13 00:33:20,CLOSED
2026-03-13T00:44:59.105685+08:00,tdc14p3309,Tin Chak Car Park,Yuen Long,25,,,2026-03-13 00:42:00,OPEN
2026-03-13T00:44:59.105685+08:00,tdc14p3311,Tin Yat Car Park,Yuen Long,30,,,2026-03-13 00:42:00,OPEN
2026-03-13T00:44:59.105685+08:00,tdc14p3431,Hong Pak Car Park,Kwun Tong,30,,,2026-03-13 00:42:00,OPEN
2026-03-13T00:44:59.105685+08:00,tdc14p3432,Hong Shui Car Park,Kwun Tong,30,,,2026-03-13 00:42:00,OPEN
2026-03-13T00:44:59.105685+08:00,tdc14p3433,Ko Chun Car Park,Kwun Tong,30,,,2026-03-13 00:42:00,OPEN
2026-03-13T00:44:59.105685+08:00,tdc14p3434,Ko Yee Car Park,Kwun Tong,0,,,2026-03-13 00:42:00,OPEN
2026-03-13T00:44:59.105685+08:00,tdc14p3435,Tak Tin Car Park A,Kwun Tong,30,,,2026-03-13 00:42:00,OPEN
2026-03-13T00:44:59.105685+08:00,tdc14p3436,Tak Tin Car Park B,Kwun Tong,30,,,2026-03-13 00:42:00,OPEN
2026-03-13T00:44:59.105685+08:00,tdc14p3441,Kai Tin Car Park A,Kwun Tong,29,,,2026-03-13 00:42:01,OPEN
2026-03-13T00:44:59.105685+08:00,tdc14p3443,Ping Tin Phase 2 Car Park,Kwun Tong,30,,,2026-03-13 00:42:00,OPEN
2026-03-13T00:44:59.105685+08:00,tdc14p3444,Ping Tin Phase 4 Car Park,Kwun Tong,27,,,2026-03-13 00:42:01,OPEN
2026-03-13T00:44:59.105685+08:00,tdc14p3445,Hong Yat Car Park,Kwun Tong,30,,,2026-03-13 00:42:00,OPEN
2026-03-13T00:44:59.105685+08:00,tdc25p37,Sunshine Plaza,Kowloon City,15,,,2026-03-13 00:41:18,OPEN
2026-03-13T00:44:59.105685+08:00,tdc14p3512,Leung King Car Park,Tuen Mun,30,,,2026-03-13 00:42:00,OPEN
2026-03-13T00:44:59.105685+08:00,tdc14p3519,Kin Sang Car Park,Tuen Mun,23,,,2026-03-13 00:42:00,OPEN
2026-03-13T00:44:59.105685+08:00,tdc14p3520,Tai Hing - Car Park H,Tuen Mun,30,,,2026-03-13 00:42:00,OPEN
2026-03-13T00:44:59.105685+08:00,tdc14p3521,Tai Hing - Car Park D,Tuen Mun,26,,,2026-03-13 00:42:00,OPEN
2026-03-13T00:44:59.105685+08:00,tdc14p3522,Tai Hing - Car Park C,Tuen Mun,30,,,2026-03-13 00:42:00,OPEN
2026-03-13T00:44:59.105685+08:00,tdc25p36,Technology Plaza,Tsuen Wan,0,,,2026-03-12 21:59:18,OPEN
2026-03-13T00:44:59.105685+08:00,tdc14p3527,Fu Tai Car Park,Tuen Mun,0,,,2026-03-13 00:42:00,OPEN
2026-03-13T00:44:59.105685+08:00,tdc14p3554,Kai Tin Car Park B,Kwun Tong,30,,,2026-03-13 00:42:00,OPEN
2026-03-13T00:44:59.105685+08:00,tdc166p2,Phase 2 Carpark of Tin Ching Estate,Yuen Long,-1,,,2026-03-13 00:42:03,CLOSED
2026-03-13T00:44:59.105685+08:00,tdc14p4219,Yu Chui Car Park A,Sha Tin,30,,,2026-03-13 00:42:01,OPEN
2026-03-13T00:44:59.105685+08:00,tdc14p4220,Yu Chui Car Park B,Sha Tin,30,,,2026-03-13 00:42:00,OPEN
2026-03-13T00:44:59.105685+08:00,tdc14p4222,Kwong Yuen Car Park A,Sha Tin,30,,,2026-03-13 00:42:00,OPEN
2026-03-13T00:44:59.105685+08:00,tdc14p4223,Lek Yuen Car Park,Sha Tin,30,,,2026-03-13 00:42:00,OPEN
2026-03-13T00:44:59.105685+08:00,tdc14p4225,Wo Che Car Park S,Sha Tin,30,,,2026-03-13 00:42:01,OPEN
2026-03-13T00:44:59.105685+08:00,tdc14p4227,Wo Che Car Park F,Sha Tin,13,,,2026-03-13 00:42:01,OPEN
2026-03-13T00:44:59.105685+08:00,tdc14p4235,Long Ping Car Park B,Yuen Long,30,,,2026-03-13 00:42:00,OPEN
2026-03-13T00:44:59.105685+08:00,tdc14p4237,Long Ping Car Park D,Yuen Long,30,,,2026-03-13 00:42:01,OPEN
2026-03-13T00:44:59.105685+08:00,tdc14p4239,Tin Shing Car Park A,Yuen Long,30,,,2026-03-13 00:42:01,OPEN
