scraped_at,park_id,name,district,private_car_vacancy,motorcycle_vacancy,lgv_vacancy,last_update,opening_status
2026-03-08T00:12:34.601074+08:00,12,Amoy Plaza,Kwun Tong District,133,0,0,2026-03-06 03:38:07,OPEN
2026-03-08T00:12:34.601074+08:00,27,Yau Lai Shopping Centre Carpark,Kwun Tong District,5,2,,2026-03-07 22:21:44,OPEN
2026-03-08T00:12:34.601074+08:00,30,Telford Plaza D Carpark,Kwun Tong District,65,,,2026-03-07 23:44:50,OPEN
2026-03-08T00:12:34.601074+08:00,31,Telford Plaza I Carpark,Kwun Tong District,125,,,2026-03-08 00:02:51,OPEN
2026-03-08T00:12:34.601074+08:00,32,Telford Plaza II Carpark,Kwun Tong District,88,,,2026-03-08 00:01:21,OPEN
2026-03-08T00:12:34.601074+08:00,37,Manhattan Place Carpark,Kwun Tong District,45,,,2026-03-07 21:12:15,OPEN
2026-03-08T00:12:34.601074+08:00,38,Domain Carpark,Kwun Tong District,134,,,2026-03-07 22:47:54,OPEN
2026-03-08T00:12:34.601074+08:00,75,Landmark East Carpark,Kwun Tong District,49,,,2026-03-08 00:02:52,OPEN
2026-03-08T00:12:34.601074+08:00,77,Kingston International Center,Kwun Tong District,93,,,2026-03-07 23:09:01,OPEN
2026-03-08T00:12:34.601074+08:00,78,Stelux House,Wong Tai Sin District,11,,,2026-03-06 17:57:44,OPEN
2026-03-08T00:12:34.601074+08:00,81,,,73,3,5,2026-03-05 13:34:26,
2026-03-08T00:12:34.601074+08:00,88,"Public Vehicle Parking, 8 Yan Yue Wai, Yau Tong",Kwun Tong District,49,,22,2026-03-06 11:40:06,OPEN
2026-03-08T00:12:34.601074+08:00,93,Hong Ning Road Park Car Park,Kwun Tong District,4,,,2026-03-07 23:59:00,OPEN
2026-03-08T00:12:34.601074+08:00,100,Prosperity Place Car Park,Kwun Tong District,25,,,2026-03-07 23:52:50,OPEN
2026-03-08T00:12:34.601074+08:00,101,Prosperity Center Car Park,Kwun Tong District,64,,,2026-03-07 23:55:30,OPEN
2026-03-08T00:12:34.601074+08:00,102,Scramble Hill,Kwun Tong District,147,,,2026-03-07 23:47:00,OPEN
2026-03-08T00:12:34.601074+08:00,103,One Sky Parc (Wilson Parking),Kwun Tong District,40,,,2026-03-07 23:54:00,OPEN
2026-03-08T00:12:34.601074+08:00,104,AIRSIDE,Wong Tai Sin District,666,77,,2026-03-08 00:01:20,OPEN
2026-03-08T00:12:34.601074+08:00,117,Kai Ching Estate Car Park,Kowloon City District,20,,,2026-03-07 21:59:00,OPEN
2026-03-08T00:12:34.601074+08:00,118,Tak Long Estate Carpark A,Kowloon City District,2,,,2026-03-07 22:58:50,OPEN
2026-03-08T00:12:34.601074+08:00,119,Tak Long Estate Carpark B,Kowloon City District,2,,,2026-03-07 21:03:50,OPEN
2026-03-08T00:12:34.601074+08:00,123,KTR350 Car Park,Kwun Tong District,65,,,2026-03-07 23:38:02,OPEN
2026-03-08T00:12:34.601074+08:00,124,Stadium Carpark,Kowloon City District,210,12,,2026-03-07 23:40:00,OPEN
2026-03-08T00:12:34.601074+08:00,125,Arena Carpark,Kowloon City District,211,9,,2026-03-07 23:54:40,OPEN
2026-03-08T00:12:34.601074+08:00,128,The Burrow (Wilson Parking),Wong Tai Sin District,31,,,2026-03-08 00:03:00,OPEN
2026-03-08T00:12:34.601074+08:00,tdc166p1,Phase 1 Carpark of Tin Ching Estate,Yuen Long,-1,,,2026-03-08 00:10:02,CLOSED
2026-03-08T00:12:34.601074+08:00,tdc6p11,Cheung Shan Estate Carpark,Tsuen Wan,-1,,,2026-03-08 00:10:02,OPEN
2026-03-08T00:12:34.601074+08:00,tdc245p1,Hong Wah Court Car Park,Kwun Tong,-1,,,2026-03-08 00:10:02,CLOSED
2026-03-08T00:12:34.601074+08:00,tdc6p8,Kwai Shing West Shopping Centre Car Park,Kwai Tsing,-1,,,2026-03-08 00:10:03,OPEN
2026-03-08T00:12:34.601074+08:00,tdc6p9,Lai King Estate Car Park C,Kwai Tsing,-1,,,2026-03-08 00:10:03,OPEN
2026-03-08T00:12:34.601074+08:00,tdc8p3,MTR Hong Kong Station Car Park,Central & Western,240,,,2026-03-08 00:09:15,OPEN
2026-03-08T00:12:34.601074+08:00,tdcp10,Aberdeen Car Park,Southern,30,5,,2026-03-08 00:09:12,OPEN
2026-03-08T00:12:34.601074+08:00,tdcp11,Tin Hau Car Park,Wan Chai,185,1,,2026-03-08 00:09:12,OPEN
