scraped_at,park_id,name,district,private_car_vacancy,motorcycle_vacancy,lgv_vacancy,last_update,opening_status
2026-02-15T00:13:31.199653+08:00,12,Amoy Plaza,Kwun Tong District,2,0,0,2026-02-14 18:36:05,OPEN
2026-02-15T00:13:31.199653+08:00,27,Yau Lai Shopping Centre Carpark,Kwun Tong District,5,2,,2026-02-14 22:04:09,OPEN
2026-02-15T00:13:31.199653+08:00,30,Telford Plaza D Carpark,Kwun Tong District,64,,,2026-02-14 23:21:20,OPEN
2026-02-15T00:13:31.199653+08:00,31,Telford Plaza I Carpark,Kwun Tong District,163,,,2026-02-14 23:53:00,OPEN
2026-02-15T00:13:31.199653+08:00,32,Telford Plaza II Carpark,Kwun Tong District,86,,,2026-02-14 23:45:30,OPEN
2026-02-15T00:13:31.199653+08:00,38,Domain Carpark,Kwun Tong District,95,,,2026-02-14 22:04:04,OPEN
2026-02-15T00:13:31.199653+08:00,75,Landmark East Carpark,Kwun Tong District,51,,,2026-02-15 00:01:19,OPEN
2026-02-15T00:13:31.199653+08:00,77,Kingston International Center,Kwun Tong District,93,,,2026-02-14 23:05:11,OPEN
2026-02-15T00:13:31.199653+08:00,78,Stelux House,Wong Tai Sin District,10,,,2026-02-13 17:27:31,OPEN
2026-02-15T00:13:31.199653+08:00,81,,,78,3,5,2026-02-10 08:59:40,
2026-02-15T00:13:31.199653+08:00,88,"Public Vehicle Parking, 8 Yan Yue Wai, Yau Tong",Kwun Tong District,13,,20,2026-02-13 10:25:19,OPEN
2026-02-15T00:13:31.199653+08:00,93,Hong Ning Road Park Car Park,Kwun Tong District,3,,,2026-02-14 23:54:50,OPEN
2026-02-15T00:13:31.199653+08:00,100,Prosperity Place Car Park,Kwun Tong District,24,,,2026-02-14 23:45:30,OPEN
2026-02-15T00:13:31.199653+08:00,101,Prosperity Center Car Park,Kwun Tong District,64,,,2026-02-14 23:50:30,OPEN
2026-02-15T00:13:31.199653+08:00,102,Scramble Hill,Kwun Tong District,150,,,2026-02-14 22:06:50,OPEN
2026-02-15T00:13:31.199653+08:00,103,One Sky Parc (Wilson Parking),Kwun Tong District,44,,,2026-02-14 22:49:30,OPEN
2026-02-15T00:13:31.199653+08:00,104,AIRSIDE,Wong Tai Sin District,686,73,,2026-02-14 23:58:50,OPEN
2026-02-15T00:13:31.199653+08:00,117,Kai Ching Estate Car Park,Kowloon City District,3,,,2026-02-14 21:15:10,OPEN
2026-02-15T00:13:31.199653+08:00,118,Tak Long Estate Carpark A,Kowloon City District,2,,,2026-02-14 21:00:41,OPEN
2026-02-15T00:13:31.199653+08:00,119,Tak Long Estate Carpark B,Kowloon City District,3,,,2026-02-14 22:01:20,OPEN
2026-02-15T00:13:31.199653+08:00,123,KTR350 Car Park,Kwun Tong District,77,,,2026-02-14 23:54:00,OPEN
2026-02-15T00:13:31.199653+08:00,124,Stadium Carpark,Kowloon City District,294,34,,2026-02-08 01:01:20,OPEN
2026-02-15T00:13:31.199653+08:00,125,Arena Carpark,Kowloon City District,205,9,,2026-02-08 01:01:20,OPEN
