park_id,name_en,address_en,district,latitude,longitude,height_limit,opening_status,website,phone
tdc14p4237,Long Ping Car Park D,"Long Ping Commercial Centre, 1 Long Ping Road, Yuen Long, New Territories",Yuen Long,22.448501266018,114.02331108725,2,OPEN,https://www.linkhk.com/en/parking/4237,2117 7076
tdc14p4239,Tin Shing Car Park A,"Tin Shing Shopping Centre, 3 Tin Ching Street, Tin Shui Wai, Yuen Long, New Territories",Yuen Long,22.448487937928,114.00317045676,2.4,OPEN,https://www.linkhk.com/en/parking/4239,2117 7076
tdc14p4243,Tin Yiu Car Park,"Tin Yiu Plaza, 2 Tin Wu Road, Tin Shui Wai, Yuen Long, New Territories",Yuen Long,22.451349605191,114.00275254317,2,OPEN,https://www.linkhk.com/en/parking/4243,2117 7076
tdc14p4246,Tin Tsz Car Park,"Tin Tsz Shopping Centre, 9 Tin Hei Street, Tin Shui Wai, Yuen Long, New Territories",Yuen Long,22.453857,114.008088,0,OPEN,https://www.linkhk.com/en/parking/4246,2117 7076
tdc14p4312,Kwong Fuk Car Park,"Kwong Fuk Commercial Centre, 28 Plover Cove Road, Tai Po, New Territories",Tai Po,22.448533,114.173875,2,OPEN,https://www.linkhk.com/en/parking/4312,5487 7944
tdc14p4320,Tai Wo Car Park A,"Tai Wo Plaza, 12 Tai Wo Road, Tai Po, New Territories",Tai Po,22.451409,114.162171,1.8,OPEN,https://www.linkhk.com/en/parking/4320,5487 7944
tdc14p4321,Tai Wo Car Park B,"Tai Wo Plaza, 12 Tai Wo Road, Tai Po, New Territories",Tai Po,22.450499,114.16076,2,OPEN,https://www.linkhk.com/en/parking/4321,5487 7944
tdc14p4322,Fu Shin Car Park,"Fu Shin Shopping Centre, 12 On Po Road, Tai Po, New Territories",Tai Po,22.453548,114.174143,2,OPEN,https://www.linkhk.com/en/parking/4322,5487 7944
tdc14p4327,Tai Yuen Car Park A,"Tai Yuen Commercial Centre, 10 Ting Kok Road, Tai Po, New Territories",Tai Po,22.455049,114.169807,2,OPEN,https://www.linkhk.com/en/parking/4327,5487 7944
tdc14p4328,Tai Yuen Car Park B,"Tai Yuen Commercial Centre, 10 Ting Kok Road, Tai Po, New Territories",Tai Po,22.454338,114.16771,1.9,OPEN,https://www.linkhk.com/en/parking/4328,5487 7944
tdc14p4330,Fu Heng Car Park A,"Fu Heng Shopping Centre, 6 Chung Nga Road, Tai Po, New Territories",Tai Po,22.458730272099,114.1710925464,2,OPEN,https://www.linkhk.com/en/parking/4330,5487 7944
tdc14p4332,Lok Fu UNY Car Park,"Lok Fu Place, 198 Junction Road, Wang Tau Hom, Kowloon",Wong Tai Sin,22.338481891299,114.18587229419,2,OPEN,https://www.linkhk.com/en/parking/4332,5487 7944
tdc14p4334,Lok Fu Market Car Park,"Lok Fu Place, 198 Junction Road, Wang Tau Hom, Kowloon",Wong Tai Sin,22.339306900503,114.18701076273,2,OPEN,https://www.linkhk.com/en/parking/4334,5487 7944
tdc14p4335,Lok Fu Zone B Car Park,"Lok Fu Place, 198 Junction Road, Wang Tau Hom, Kowloon",Wong Tai Sin,22.337152869384,114.18751143473,2,OPEN,https://www.linkhk.com/en/parking/4335,5487 7944
tdc14p4337,Tung Tau II Car Park A,"Tung Tau Estate Retail and Car Park, 183 Tung Tau Tsuen Road, Wong Tai Sin, Kowloon",Wong Tai Sin,22.335231,114.192711,2,OPEN,https://www.linkhk.com/en/parking/4337,5487 7944
tdc25p35,Technology Park,"18 On Lai Street, Shatin, New Territories",Sha Tin,22.3886776,114.20758057,4.1,OPEN,https://www.sino-propertyservices.com/en/parking-services/portfolio,26465386
tdc14p4352,Lok Fu Estate Car Park,"Lok Fu Place, 198 Junction Road, Wang Tau Hom, Kowloon",Wong Tai Sin,22.335231585602,114.18696064343,2,OPEN,https://www.linkhk.com/en/parking/4352,5487 7944
tdc14p5128,TKO Gateway Car Park West,"TKO Gateway, 2 Sheung Ning Street, Tseung Kwan O, New Territories",Sai Kung,22.317634,114.264292,2.1,OPEN,https://www.linkhk.com/en/parking/5143,5487 7944
tdc14p5129,TKO Gateway Car Park East,"TKO Gateway, 2 Sheung Ning Street, Tseung Kwan O, New Territories",Sai Kung,22.317261168636,114.26642156516,2.1,OPEN,https://www.linkhk.com/en/parking/5142,5487 7944
tdc43p2,Castle Peak Beach,"Castle Peak Beach, Castle Peak Road-Castle Peak Bay, Tuen Mun",Tuen Mun,22.38051224,113.97942352,0,OPEN,,
tdc14p5132,TKO Gateway Car Park South,"TKO Gateway South, 8 Ngan O Road, Tseung Kwan O, New Territories",Sai Kung,22.315847,114.266501,2,OPEN,https://www.linkhk.com/en/parking/5132,5487 7944
tdc43p1,Shun Lee Tsuen Park,Shun Lee Tsuen Park,Kwun Tong,22.329178092709,114.2250832345,0,OPEN,,
tdc14p5135,Yan Ming Court Car Park,"Yan Ming Court Retail and Car Park, 100 Po Lam Road North, Tseung Kwan O, New Territories",Sai Kung,22.324448,114.259057,2,OPEN,https://www.linkhk.com/en/parking/5135,5487 7944
tdc14p5136,Ying Ming Court Car Park,"Ying Ming Court Car Park, 20 Po Lam Road North, Tseung Kwan O, New Territories",Sai Kung,22.325824,114.25679,2,OPEN,https://www.linkhk.com/en/parking/5136,5487 7944
