scraped_at,park_id,name,district,private_car_vacancy,motorcycle_vacancy,lgv_vacancy,last_update,opening_status
2026-02-03T00:24:54.433397+08:00,27,Yau Lai Shopping Centre Carpark,Kwun Tong District,2,2,,2026-02-02 13:24:55,OPEN
2026-02-03T00:24:54.433397+08:00,30,Telford Plaza D Carpark,Kwun Tong District,25,,,2026-02-02 13:55:48,OPEN
2026-02-03T00:24:54.433397+08:00,31,Telford Plaza I Carpark,Kwun Tong District,87,,,2026-02-02 13:22:10,OPEN
2026-02-03T00:24:54.433397+08:00,32,Telford Plaza II Carpark,Kwun Tong District,2,,,2026-02-02 13:55:48,OPEN
2026-02-03T00:24:54.433397+08:00,38,Domain Carpark,Kwun Tong District,108,,,2026-02-02 22:27:31,OPEN
2026-02-03T00:24:54.433397+08:00,75,Landmark East Carpark,Kwun Tong District,50,,,2026-02-03 00:22:23,OPEN
2026-02-03T00:24:54.433397+08:00,77,Kingston International Center,Kwun Tong District,94,,,2026-02-02 23:54:40,OPEN
2026-02-03T00:24:54.433397+08:00,78,Stelux House,Wong Tai Sin District,11,,,2026-02-02 17:36:27,OPEN
2026-02-03T00:24:54.433397+08:00,81,Manulife Place,Kwun Tong District,76,3,5,2026-02-02 18:45:33,OPEN
2026-02-03T00:24:54.433397+08:00,88,"Public Vehicle Parking, 8 Yan Yue Wai, Yau Tong",Kwun Tong District,7,,21,2026-02-02 16:35:46,OPEN
2026-02-03T00:24:54.433397+08:00,93,Hong Ning Road Park Car Park,Kwun Tong District,0,,,2026-02-02 20:31:20,OPEN
2026-02-03T00:24:54.433397+08:00,100,Prosperity Place Car Park,Kwun Tong District,25,,,2026-02-03 00:08:50,OPEN
2026-02-03T00:24:54.433397+08:00,101,Prosperity Center Car Park,Kwun Tong District,65,,,2026-02-03 00:20:30,OPEN
2026-02-03T00:24:54.433397+08:00,102,Scramble Hill,Kwun Tong District,149,,,2026-02-02 23:47:00,OPEN
2026-02-03T00:24:54.433397+08:00,103,One Sky Parc (Wilson Parking),Kwun Tong District,41,,,2026-02-03 00:05:20,OPEN
2026-02-03T00:24:54.433397+08:00,104,AIRSIDE,Wong Tai Sin District,646,79,,2026-02-03 00:18:10,OPEN
2026-02-03T00:24:54.433397+08:00,117,Kai Ching Estate Car Park,Kowloon City District,20,,,2026-02-03 00:11:30,OPEN
2026-02-03T00:24:54.433397+08:00,118,Tak Long Estate Carpark A,Kowloon City District,24,,,2026-02-03 00:03:30,OPEN
2026-02-03T00:24:54.433397+08:00,119,Tak Long Estate Carpark B,Kowloon City District,3,,,2026-02-02 21:01:30,OPEN
2026-02-03T00:24:54.433397+08:00,123,KTR350 Car Park,Kwun Tong District,75,,,2026-02-03 00:03:30,OPEN
2026-02-03T00:24:54.433397+08:00,124,Stadium Carpark,Kowloon City District,290,34,,2026-02-02 23:01:01,OPEN
2026-02-03T00:24:54.433397+08:00,125,Arena Carpark,Kowloon City District,200,9,,2026-02-03 00:12:50,OPEN
2026-02-03T00:24:54.433397+08:00,128,The Burrow (Wilson Parking),Wong Tai Sin District,30,,,2026-02-03 00:16:30,OPEN
2026-02-03T00:24:54.433397+08:00,tdc166p1,Phase 1 Carpark of Tin Ching Estate,Yuen Long,-1,,,2026-02-03 00:23:02,CLOSED
2026-02-03T00:24:54.433397+08:00,tdc6p11,Cheung Shan Estate Carpark,Tsuen Wan,-1,,,2026-02-03 00:23:02,OPEN
2026-02-03T00:24:54.433397+08:00,tdc245p1,Hong Wah Court Car Park,Kwun Tong,-1,,,2026-02-03 00:23:02,CLOSED
2026-02-03T00:24:54.433397+08:00,tdc6p8,Kwai Shing West Shopping Centre Car Park,Kwai Tsing,-1,,,2026-02-03 00:23:02,OPEN
2026-02-03T00:24:54.433397+08:00,tdc6p9,Lai King Estate Car Park C,Kwai Tsing,-1,,,2026-02-03 00:23:02,OPEN
2026-02-03T00:24:54.433397+08:00,tdc8p3,MTR Hong Kong Station Car Park,Central & Western,10,,,2026-02-03 00:22:15,OPEN
2026-02-03T00:24:54.433397+08:00,tdcp10,Aberdeen Car Park,Southern,29,5,,2026-02-03 00:22:12,OPEN
2026-02-03T00:24:54.433397+08:00,tdcp11,Tin Hau Car Park,Wan Chai,189,0,,2026-02-03 00:22:12,OPEN
2026-02-03T00:24:54.433397+08:00,tdcp12,Sheung Fung Street Car Park,Wong Tai Sin,68,3,,2026-02-03 00:22:12,OPEN
2026-02-03T00:24:54.433397+08:00,tdcp2,Rumsey Street Car Park,Central & Western,492,37,,2026-02-03 00:22:12,OPEN
2026-02-03T00:24:54.433397+08:00,tdcp3,Tsuen Wan Car Park,Tsuen Wan,120,1,,2026-02-03 00:22:12,OPEN
2026-02-03T00:24:54.433397+08:00,tdcp5,City Hall Car Park,Central & Western,126,6,,2026-02-03 00:22:12,OPEN
2026-02-03T00:24:54.433397+08:00,tdcp6,Kwai Fong Car Park,Kwai Tsing,135,7,,2026-02-03 00:22:12,OPEN
2026-02-03T00:24:54.433397+08:00,tdcp7,Kennedy Town Car Park,Central & Western,41,0,,2026-02-03 00:22:12,OPEN
2026-02-03T00:24:54.433397+08:00,tdcp8,Star Ferry Car Park,Central & Western,-1,-1,,2026-02-03 00:23:02,OPEN
2026-02-03T00:24:54.433397+08:00,tdcp9,Shau Kei Wan Car Park,Eastern,97,7,,2026-02-03 00:22:12,OPEN
2026-02-03T00:24:54.433397+08:00,tdstt2p2,Value Parking Shan Mei Street,Sha Tin,-1,,,2026-02-03 00:23:02,OPEN
2026-02-03T00:24:54.433397+08:00,tdc5p1,Hopewell Centre,Wan Chai,-1,,,2026-02-03 00:23:02,OPEN
2026-02-03T00:24:54.433397+08:00,tdc5p3,Wu Chung House,Wan Chai,-1,,,2026-02-03 00:23:02,OPEN
2026-02-03T00:24:54.433397+08:00,tdc5p4,Panda Place,Tsuen Wan,-1,,,2026-02-03 00:23:02,OPEN
2026-02-03T00:24:54.433397+08:00,tdc17p1,Xiqu Centre Car Park,Yau Tsim Mong,45,,,2026-02-03 00:21:11,OPEN
2026-02-03T00:24:54.433397+08:00,tdstt30,Hoi Ting Road,Yau Tsim Mong,6,,,2026-02-03 00:22:34,OPEN
2026-02-03T00:24:54.433397+08:00,tdc1p5,Lee Garden Three Car Park,Wan Chai,-1,,,2026-02-03 00:23:02,OPEN
2026-02-03T00:24:54.433397+08:00,tdc1p4,Hysan Place Car Park,Wan Chai,-1,,,2026-02-03 00:23:02,OPEN
2026-02-03T00:24:54.433397+08:00,tdc1p3,Leighton Centre Car Park,Wan Chai,-1,,,2026-02-03 00:23:02,CLOSED
2026-02-03T00:24:54.433397+08:00,tdc1p2,LEE GARDEN TWO CAR PARK,Wan Chai,-1,,,2026-02-03 00:23:02,CLOSED
2026-02-03T00:24:54.433397+08:00,tdc1p1,LEE GARDEN ONE CAR PARK,Wan Chai,-1,,,2026-02-03 00:23:02,CLOSED
2026-02-03T00:24:54.433397+08:00,tdc17p3,West Gate Open Car Park,Yau Tsim Mong,0,,,2026-02-02 23:00:12,OPEN
2026-02-03T00:24:54.433397+08:00,tdstt3p1,Skye Parking Ho Tin Street,Tuen Mun,-1,,-1,2026-02-03 00:23:02,OPEN
2026-02-03T00:24:54.433397+08:00,tdc17p2,Art Park Car Park,Yau Tsim Mong,205,0,,2026-02-03 00:22:12,OPEN
2026-02-03T00:24:54.433397+08:00,tdstt5p1,Skye Parking Ma Wo Road,Tai Po,-1,,,2026-02-03 00:23:02,OPEN
2026-02-03T00:24:54.433397+08:00,tdc14p1004,Choi Ming Car Park 1,Sai Kung,30,,,2026-02-03 00:23:00,OPEN
2026-02-03T00:24:54.433397+08:00,tdc14p1005,Choi Ming Car Park 2,Sai Kung,30,,,2026-02-03 00:23:00,OPEN
2026-02-03T00:24:54.433397+08:00,tdc14p1006,Kin Ming Car Park A,Sai Kung,30,,,2026-02-03 00:23:00,OPEN
2026-02-03T00:24:54.433397+08:00,tdc14p1007,Tong Ming Car Park,Sai Kung,30,,,2026-02-03 00:23:00,OPEN
2026-02-03T00:24:54.433397+08:00,tdc14p1008,TKO Spot Car Park A,Sai Kung,30,,,2026-02-03 00:23:00,OPEN
2026-02-03T00:24:54.433397+08:00,tdc14p1012,TKO Spot Car Park B,Sai Kung,30,,,2026-02-03 00:23:01,OPEN
2026-02-03T00:24:54.433397+08:00,tdc14p1015,Oi Tung Car Park,Eastern,30,,,2026-02-03 00:23:00,OPEN
2026-02-03T00:24:54.433397+08:00,tdc14p1016,Yiu Tung Car Park 1,Eastern,28,,,2026-02-03 00:23:00,OPEN
2026-02-03T00:24:54.433397+08:00,tdc14p1017,Hing Tung Car Park,Eastern,30,,,2026-02-03 00:23:00,OPEN
