scraped_at,park_id,name,district,private_car_vacancy,motorcycle_vacancy,lgv_vacancy,last_update,opening_status
2026-02-16T00:13:27.612983+08:00,12,Amoy Plaza,Kwun Tong District,5,0,0,2026-02-15 20:40:23,OPEN
2026-02-16T00:13:27.612983+08:00,27,Yau Lai Shopping Centre Carpark,Kwun Tong District,0,2,,2026-02-15 12:54:34,OPEN
2026-02-16T00:13:27.612983+08:00,30,Telford Plaza D Carpark,Kwun Tong District,63,,,2026-02-15 23:43:50,OPEN
2026-02-16T00:13:27.612983+08:00,31,Telford Plaza I Carpark,Kwun Tong District,168,,,2026-02-16 00:01:51,OPEN
2026-02-16T00:13:27.612983+08:00,32,Telford Plaza II Carpark,Kwun Tong District,88,,,2026-02-15 23:18:20,OPEN
2026-02-16T00:13:27.612983+08:00,38,Domain Carpark,Kwun Tong District,0,,,2026-02-15 13:22:23,OPEN
2026-02-16T00:13:27.612983+08:00,75,Landmark East Carpark,Kwun Tong District,51,,,2026-02-16 00:04:19,OPEN
2026-02-16T00:13:27.612983+08:00,77,Kingston International Center,Kwun Tong District,93,,,2026-02-15 22:12:40,OPEN
2026-02-16T00:13:27.612983+08:00,78,Stelux House,Wong Tai Sin District,10,,,2026-02-13 17:27:31,OPEN
2026-02-16T00:13:27.612983+08:00,81,Manulife Place,Kwun Tong District,78,3,5,2026-02-10 08:59:40,OPEN
2026-02-16T00:13:27.612983+08:00,88,"Public Vehicle Parking, 8 Yan Yue Wai, Yau Tong",Kwun Tong District,13,,20,2026-02-13 10:25:19,OPEN
2026-02-16T00:13:27.612983+08:00,93,Hong Ning Road Park Car Park,Kwun Tong District,0,,,2026-02-15 23:46:30,OPEN
2026-02-16T00:13:27.612983+08:00,100,Prosperity Place Car Park,Kwun Tong District,31,,,2026-02-15 23:48:00,OPEN
2026-02-16T00:13:27.612983+08:00,101,Prosperity Center Car Park,Kwun Tong District,65,,,2026-02-15 23:01:21,OPEN
2026-02-16T00:13:27.612983+08:00,102,Scramble Hill,Kwun Tong District,150,,,2026-02-15 23:11:10,OPEN
2026-02-16T00:13:27.612983+08:00,103,One Sky Parc (Wilson Parking),Kwun Tong District,43,,,2026-02-15 23:16:30,OPEN
2026-02-16T00:13:27.612983+08:00,104,AIRSIDE,Wong Tai Sin District,690,80,,2026-02-16 00:03:20,OPEN
2026-02-16T00:13:27.612983+08:00,117,Kai Ching Estate Car Park,Kowloon City District,23,,,2026-02-15 23:00:01,OPEN
2026-02-16T00:13:27.612983+08:00,118,Tak Long Estate Carpark A,Kowloon City District,4,,,2026-02-15 23:04:00,OPEN
2026-02-16T00:13:27.612983+08:00,119,Tak Long Estate Carpark B,Kowloon City District,3,,,2026-02-15 20:04:10,OPEN
2026-02-16T00:13:27.612983+08:00,123,KTR350 Car Park,Kwun Tong District,74,,,2026-02-16 00:00:10,OPEN
2026-02-16T00:13:27.612983+08:00,128,The Burrow (Wilson Parking),Wong Tai Sin District,29,,,2026-02-15 23:52:40,OPEN
2026-02-16T00:13:27.612983+08:00,tdc166p1,Phase 1 Carpark of Tin Ching Estate,Yuen Long,-1,,,2026-02-16 00:11:02,CLOSED
2026-02-16T00:13:27.612983+08:00,tdc6p11,Cheung Shan Estate Carpark,Tsuen Wan,-1,,,2026-02-16 00:11:02,OPEN
2026-02-16T00:13:27.612983+08:00,tdc245p1,Hong Wah Court Car Park,Kwun Tong,-1,,,2026-02-16 00:11:02,CLOSED
